id,value
id_0,25.7016063484
id_1,64.4556940279
id_2,19.409341026
id_3,28.5426272254
id_4,9.2765614132
id_5,30.1736489209
id_6,41.5981130318
id_7,16.3672316351
id_8,50.7720247693
id_9,32.6717388502
id_10,37.7810055839
id_11,58.4016690236
id_12,35.795926952
id_13,38.0483602655
id_14,29.0065955176
id_15,11.9460545914
id_16,51.3627285268
id_17,22.6887270702
id_18,15.5031487593
id_19,17.4510461793
id_20,15.4839395622
id_21,29.4929064583
id_22,39.9732224537
id_23,9.98007939515
id_24,61.4050797346
id_25,45.8653610703
id_26,26.517872863
id_27,7.51157727115
id_28,29.3694565111
id_29,35.5523958274
id_30,17.6383758019
id_31,11.5224695986
id_32,16.5862916375
id_33,7.57482785653
id_34,16.0478656307
id_35,43.5784090121
id_36,23.0350865734
id_37,27.8169249417
id_38,10.4424385054
id_39,56.9592016989
id_40,46.0092620996
id_41,20.5479822474
id_42,53.499421151
id_43,18.5333433113
id_44,43.7081307712
id_45,50.0641451746
id_46,58.1926694723
id_47,40.8929233707
id_48,54.6196804603
id_49,38.9121224337
id_50,30.8826926408
id_51,22.8374699307
id_52,42.0480848667
id_53,25.1891983809
id_54,36.5145991543
id_55,38.5786135672
id_56,24.4954927634
id_57,20.9653585645
id_58,35.9362692406
id_59,33.0431878595
id_60,11.7636847366
id_61,24.0775256128
id_62,31.3583568208
id_63,51.6877619381
id_64,49.9494983737
id_65,26.2035069243
id_66,37.7945079738
id_67,52.0588642706
id_68,29.3105637843
id_69,38.9239194935
id_70,64.8506172117
id_71,55.5930284662
id_72,42.445450373
id_73,14.5110383243
id_74,13.6805983163
id_75,35.2842501236
id_76,62.9472603661
id_77,2.1941217549
id_78,42.2714171477
id_79,41.6968816589
id_80,8.79909153866
id_81,21.0729439022
id_82,5.94782842088
id_83,32.0643968725
id_84,7.9585119117
id_85,4.96828076577
id_86,17.0793097261
id_87,11.7551094593
id_88,18.1382332609
id_89,21.8968451629
id_90,35.4257644684
id_91,12.4597814447
id_92,11.5034394012
id_93,10.6440340267
id_94,36.8761937454
id_95,15.1758958115
id_96,17.3055261938
id_97,9.16189964631
id_98,10.4912994285
id_99,4.83714350992
id_100,10.2703418893
id_101,18.7745119176
id_102,11.3461684387
id_103,9.17588835024
id_104,13.0075965202
id_105,36.5814809395
id_106,22.8142723073
id_107,8.38709210043
id_108,17.484289352
id_109,16.1242893308
id_110,11.0920922524
id_111,14.6521562852
id_112,16.4245092363
id_113,24.6362469122
id_114,20.1084125061
id_115,15.4660042007
id_116,9.12733285327
id_117,43.562366072
id_118,25.604781398
id_119,0.978991714807
id_120,0.261475245523
id_121,10.3954877109
id_122,12.4829921094
id_123,11.8954552479
id_124,7.2247517821
id_125,25.0817922193
id_126,23.6674836552
id_127,9.17320878724
id_128,19.4455277181
id_129,13.1153853903
id_130,-0.393313334965
id_131,31.933288242
id_132,15.5158033378
id_133,22.0287914863
id_134,26.9711578422
id_135,25.3560151027
id_136,9.90800857216
id_137,22.8376860573
id_138,78.2418871983
id_139,62.9373414201
id_140,27.7813933031
id_141,18.9130798566
id_142,24.5176944731
id_143,7.22591013448
id_144,14.4045646461
id_145,9.48170442616
id_146,19.7250506009
id_147,7.39156859438
id_148,12.31070837
id_149,16.3272825143
id_150,45.4555081611
id_151,19.2414241104
id_152,21.8256022357
id_153,13.9562542749
id_154,14.1763088276
id_155,23.6119235914
id_156,24.2199081249
id_157,37.1526102801
id_158,3.42433977854
id_159,22.6355077517
id_160,41.3448139694
id_161,19.1979741271
id_162,60.5228109678
id_163,16.5324872501
id_164,34.0251563496
id_165,25.122241082
id_166,22.0350278307
id_167,0.564629717234
id_168,68.6801262228
id_169,16.1185194092
id_170,15.9970343898
id_171,70.61398143
id_172,20.557597845
id_173,2.58137417328
id_174,24.130950631
id_175,-0.125068593617
id_176,9.00896285374
id_177,18.1166607234
id_178,22.5420024645
id_179,24.2247024981
id_180,42.4269110929
id_181,34.2995560006
id_182,30.8025980796
id_183,14.6843875208
id_184,7.30434071839
id_185,42.1418772342
id_186,35.8067141587
id_187,33.8134401771
id_188,15.1896729225
id_189,24.5337158238
id_190,14.375703077
id_191,15.0046789837
id_192,29.7434473835
id_193,73.770075818
id_194,31.9144311133
id_195,10.8036262071
id_196,62.1124289097
id_197,17.8758729743
id_198,19.9641157445
id_199,20.8686384262
id_200,122.739339106
id_201,22.799059707
id_202,58.3857072801
id_203,4.32651046062
id_204,58.8880870816
id_205,33.9851275901
id_206,14.6023292886
id_207,15.2348369013
id_208,60.6011727027
id_209,14.0027885914
id_210,38.5198797374
id_211,68.1339133475
id_212,19.1619465453
id_213,113.966488855
id_214,40.5951221717
id_215,75.9946531315
id_216,90.3082084828
id_217,70.984815682
id_218,30.5953324165
id_219,21.9217989284
id_220,30.1766400842
id_221,56.3531980443
id_222,25.8383221465
id_223,38.6734179325
id_224,42.9606229164
id_225,9.65119799502
id_226,5.94472776682
id_227,81.612040759
id_228,29.2152017866
id_229,1.91203257021
id_230,39.8656888299
id_231,14.8070168662
id_232,22.3552813955
id_233,6.99562638006
id_234,16.0688737354
id_235,25.134528447
id_236,14.4031671458
id_237,3.52732334179
id_238,23.1791226762
id_239,13.1593723766
